division_code,code,description
47,479,"Retail trade not in stores, stalls or markets"
49,491,"Passenger rail transport, interurban"
49,492,Freight rail transport
49,493,Other passenger land transport
49,494,Freight transport by road and removal services
49,495,Transport via pipeline
50,501,Sea and coastal passenger water transport
50,502,Sea and coastal freight water transport
50,503,Inland passenger water transport
50,504,Inland freight water transport
51,511,Passenger air transport
51,512,Freight air transport and space transport
52,521,Warehousing and storage
52,522,Support activities for transportation
53,531,Postal activities under universal service obligation
53,532,Other postal and courier activities
55,551,Hotels and similar accommodation
55,552,"Holiday and other short-stay accommodation"
55,553,"Camping grounds, recreational vehicle parks and trailer parks"
55,559,Other accommodation
56,561,Restaurants and mobile food service activities
56,562,Event catering and other food service activities
56,563,Beverage serving activities
58,581,"Publishing of books, periodicals and other publishing activities"
58,582,Software publishing
59,591,"Motion picture, video and television programme activities"
59,592,Sound recording and music publishing activities
60,601,Radio broadcasting
60,602,Television programming and broadcasting activities
61,611,Wired telecommunications activities
61,612,Wireless telecommunications activities
61,613,Satellite telecommunications activities
61,619,Other telecommunications activities
62,620,"Computer programming, consultancy and related activities"
63,631,"Data processing, hosting and related activities; web portals"
63,639,Other information service activities
64,641,Monetary intermediation
64,642,Activities of holding companies
64,643,"Trusts, funds and similar financial entities"
64,649,"Other financial service activities, except insurance and pension funding"
65,651,Insurance
65,652,Reinsurance
65,653,Pension funding
66,661,"Activities auxiliary to financial services, except insurance and pension funding"
66,662,Activities auxiliary to insurance and pension funding
66,663,Fund management Activities
68,681,Buying and selling of own real estate
68,682,Renting and operating of own or leased real estate
68,683,Real estate activities on a fee or contract basis
69,691,Legal activities
69,692,"Accounting, bookkeeping and auditing activities; tax consultancy"
70,701,Activities of head offices
70,702,Management consultancy activities
71,711,Architectural and engineering activities and related technical consultancy
71,712,Technical testing and analysis
72,721,Research and experimental development on natural sciences and engineering
72,722,Research and experimental development on social sciences and humanities
73,731,Advertising
73,732,Market research and public opinion polling
74,741,Specialised design activities
74,742,Photographic activities
74,743,Translation and interpretation activities
74,749,"Other professional, scientific and technical activities n.e.c."
75,750,Veterinary activities
77,771,Renting and leasing of motor vehicles
77,772,Renting and leasing of personal and household goods
77,773,"Renting and leasing of other machinery, equipment and tangible goods"
77,774,"Leasing of intellectual property and similar products, except copyrighted work"
78,781,Activities of employment placement agencies
78,782,Temporary employment agency activities
78,783,Other human resources provision
79,791,Travel agency and tour operator activities
79,799,Other reservation service and related activities
80,801,Private security activities
80,802,Security systems service activities
80,803,Investigation activities
81,811,Combined facilities support activities
81,812,Cleaning activities
81,813,Landscape service activities
82,821,Office administrative and support activities
82,822,Activities of call centres
82,823,Organisation of conventions and trade shows
82,829,"Business support service activities n.e.c."
84,841,Administration of the State and the economic and social policy of the community
84,842,Provision of services to the community as a whole
84,843,Compulsory social security activities
85,851,Pre-primary education
85,852,Primary education
85,853,Secondary education
85,854,Higher education
85,855,Other education
85,856,Educational support activities
86,861,Hospital activities
86,862,Medical and dental practice activities
86,869,Other human health activities
87,871,Residential nursing care activities
87,872,"Residential care activities for learning disabilities, mental health and substance abuse"
87,873,Residential care activities for the elderly and disabled
87,879,Other residential care activities
88,881,Social work activities without accommodation for the elderly and disabled
88,889,Other social work activities without accommodation
90,900,"Creative, arts and entertainment activities"
91,910,"Libraries, archives, museums and other cultural activities"
92,920,Gambling and betting activities
93,931,Sports activities
93,932,Amusement and recreation activities
94,941,"Activities of business, employers and professional membership organisations"
94,942,Activities of trade unions
94,949,Activities of other membership organisations
95,951,Repair of computers and communication equipment
95,952,Repair of personal and household goods
96,960,Other personal service activities
97,970,Activities of households as employers of domestic personnel
98,981,Undifferentiated goods-producing activities of private households for own use
98,982,Undifferentiated service-producing activities of private households for own use
99,990,Activities of extraterritorial organisations and bodies
